sighting_id,park_id,park_name,state,species_id,common_name,scientific_name,category,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,temperature_max,temperature_min,temperature_avg,precipitation,snowfall,wind_speed,recreation_visits,crowd_level,basis_of_record,location_filter_method,data_quality_flag,source,weather_joined,visitation_joined,search_result_count,official_source_count,area_context_count,season_context_count,time_context_count,avg_serp_confidence_score,top_mentioned_area,top_mentioned_season,top_mentioned_time_of_day,has_official_context,has_recent_context
GBIF-5216954886_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-29,2025.0,6.0,summer,afternoon,44.705493,-110.579901,27285.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5217048872_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-29,2025.0,6.0,summer,afternoon,44.771928,-110.44007,27285.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5217246030_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-29,2025.0,6.0,summer,afternoon,44.649139,-110.62648,27285.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5217332464_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-20,2025.0,6.0,summer,night,44.906338,-110.058684,27253.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5217434082_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-30,2025.0,6.0,summer,early_morning,44.892861,-110.348411,27253.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5230969165_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-28,2025.0,6.0,summer,morning,44.423556,-110.873469,27317.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5231581077_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-29,2025.0,6.0,summer,early_morning,44.828319,-110.397713,27253.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5761074001_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-06,2025.0,6.0,summer,afternoon,44.805791,-110.625086,27253.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5892567317_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-22,2025.0,6.0,summer,early_morning,44.43305,-110.205914,27317.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6171360866_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-13,2025.0,6.0,summer,afternoon,44.808643,-109.892499,27253.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
