sighting_id,occurrence_id,park_id,species_id,scientific_name,common_name,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,basis_of_record,location_filter_method,source,license,data_quality_flag
GBIF-6320545470_park_yell,GBIF-6320545470,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2026-05-05,2026.0,5.0,spring,evening,44.912947,-110.390707,,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
GBIF-6320625750_park_yell,GBIF-6320625750,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2026-05-07,2026.0,5.0,spring,afternoon,44.928808,-110.444797,,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
GBIF-6320944508_park_yell,GBIF-6320944508,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2026-05-05,2026.0,5.0,spring,afternoon,44.963081,-110.709062,,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
GBIF-6321199636_park_yell,GBIF-6321199636,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2026-05-07,2026.0,5.0,spring,afternoon,44.903966,-110.117574,,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
GBIF-5063072517_park_yell,GBIF-5063072517,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2025-01-15,2025.0,1.0,winter,afternoon,44.955886,-110.500859,8.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
GBIF-5064053205_park_yell,GBIF-5064053205,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2025-02-04,2025.0,2.0,winter,morning,44.922294,-110.438927,46.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
GBIF-5140380598_park_yell,GBIF-5140380598,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2025-04-19,2025.0,4.0,spring,afternoon,44.531453,-110.460465,39566.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5154645807_park_yell,GBIF-5154645807,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2025-05-09,2025.0,5.0,spring,morning,44.597918,-110.561249,71330.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5167676249_park_yell,GBIF-5167676249,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2025-05-25,2025.0,5.0,spring,afternoon,44.94952,-110.653903,2164.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
GBIF-5168485403_park_yell,GBIF-5168485403,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2025-05-19,2025.0,5.0,spring,afternoon,44.951707,-110.713655,488.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
